Event	ID	Name			Wwise Object Path	Notes
	196682047	SFX_PaperDisappears			\Default Work Unit\SFX_PaperDisappears	
	480120917	SFX_NoBack			\Default Work Unit\SFX_NoBack	
	681822082	SFX_Key			\Default Work Unit\SFX_Key	
	831657605	SFX_PaperAppears			\Default Work Unit\SFX_PaperAppears	
	855119499	SFX_NoInkLeft			\Default Work Unit\SFX_NoInkLeft	
	1101959602	SFX_Bell			\Default Work Unit\SFX_Bell	
	1281716197	SFX_Cadavre			\Default Work Unit\SFX_Cadavre	
	2363272052	Ambiant_Day			\Default Work Unit\Ambiant_Day	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	3380952835	SFX_PutAwayTypewriter			\Default Work Unit\SFX_PutAwayTypewriter	
	4036892440	SFX_TypeWriter			\Default Work Unit\SFX_TypeWriter	
	4228261502	SFX_Spool			\Default Work Unit\SFX_Spool	

Audio Bus	ID	Name			Wwise Object Path	Notes
	393239870	SFX			\Default Work Unit\Master Audio Bus\CHARACTER\SFX	
	436743010	CHARACTER			\Default Work Unit\Master Audio Bus\CHARACTER	
	682566924	SFX_CADAVRES			\Default Work Unit\Master Audio Bus\CHARACTER\SFX_CADAVRES	
	999249646	FTS			\Default Work Unit\Master Audio Bus\CHARACTER\FTS	
	2193711091	REVS			\Default Work Unit\Master Audio Bus\REVS	
	3034623661	ATMOS			\Default Work Unit\Master Audio Bus\ATMOS	
	3261194612	AMBIANT_ATMOS			\Default Work Unit\Master Audio Bus\ATMOS\AMBIANT_ATMOS	
	3419056631	AMBIANT_MUSIC			\Default Work Unit\Master Audio Bus\ATMOS\AMBIANT_MUSIC	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	3405182688	AMBIANT_OS			\Default Work Unit\Master Audio Bus\REVS\AMBIANT_OS	

Effect plug-ins	ID	Name	Type				Notes
	48620415	Have_U_Ever_Been_Outside	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	1313335	FTS_Cloth_R_04	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\Footsteps\Gear\Cloth\FTS_Cloth_R_04_49718417.wem		\Actor-Mixer Hierarchy\Ink\CHARACTER\FTS\Footsteps_All\Gear\Cloth\FTS_Cloth_R\FTS_Cloth_R_04		9744
	1758084	SFX_Typewriter_SpoolReload_03	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\SFX_Typewiter\SFX_Spool\SFX_Typewriter_SpoolReload_03_49718417.wem		\Actor-Mixer Hierarchy\Ink\CHARACTER\SFX\SFX_Typewiter\SFX_Spool\SFX_Typewriter_SpoolReload\SFX_Typewriter_SpoolReload_03		11439
	8844161	SFX_Typewriter_Spool_04	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\SFX_Typewiter\SFX_Spool\SFX_Typewriter_Spool_04_49718417.wem		\Actor-Mixer Hierarchy\Ink\CHARACTER\SFX\SFX_Typewiter\SFX_NoInkLeft\SFX_Typewriter_Spool\SFX_Typewriter_Spool_04		17020
	12312977	Ambiant_Wind_High_Lp_V2	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\Ambiant\Day_Lp\Ambiant_Wind_High_Lp_V2_B587EF35.wem		\Actor-Mixer Hierarchy\Ink\AMBIANT\Ambiant\Ambiant_Day\Day_Lp\Ambiant_Wind_High_Lp_V2		835939
	27988107	Ambiant_Forest_Gousse_OS_04	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\Ambiant\Day_OS\Bird\Gousse\Ambiant_Forest_Gousse_OS_04_49718417.wem		\Actor-Mixer Hierarchy\Ink\AMBIANT\Ambiant\Ambiant_Day\Day_OS\Bird\Gousse\Ambiant_Forest_Gousse_OS_04		16192
	41988714	Ambiant_Wind_Howls_OS_03	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\Ambiant\Day_OS\Wind_Howls\Ambiant_Wind_Howls_OS_03_CA648073.wem		\Actor-Mixer Hierarchy\Ink\AMBIANT\Ambiant\Ambiant_Day\Day_OS\Wind_Howls\Ambiant_Wind_Howls_OS_03		147166
	42693822	Ambiant_Forest_Insects_OS_03	D:\Sessions\Ink\Git\Ink _WwiseProject\.cache\Windows\SFX\Ambiant\Day_OS\Insects\Ambiant_Forest_Insects_OS_03_49718417.wem		\Actor-Mixer Hierarchy\Ink\AMBIANT\Ambiant\Ambiant_Day\Day_OS\Insects\Ambiant_Forest_Insects_OS_03		33977
